Index,Operation,Property Type,Place with Parent Names,Latitude,Longitude,Price,Currency,Price Approx (Local Currency),Price Approx (USD),Surface Total (m2),Surface Covered (m2),Price USD per m2,Price per m2,Floor,Rooms,Expenses,Property URL
176,Rent,Studio,Ngara,-1.25129468,36.72192959,10609387,USD,10609387,90585.80164,214,97,423.2981385,49576.57477,5,3,1949,https://example.com/property/176
177,Sale,Townhouse,Upper Hill,-1.202621032,36.72538814,8252807,KES,8252807,64817.46406,110,92,589.2496732,75025.51818,5,5,4587,https://example.com/property/177
178,Sale,House,Embakasi,-1.253996211,36.97924892,23655767,USD,23655767,226224.4992,141,125,1604.429072,167771.3972,5,2,2111,https://example.com/property/178
179,Sale,Apartment,Embakasi,-1.291535288,36.71554343,6301394,USD,6301394,45717.82336,79,62,578.7066248,79764.48101,1,4,9367,https://example.com/property/179
180,Sale,Apartment,Mombasa Road,-1.34025219,36.77467132,5827364,USD,5827364,45130.76865,248,142,181.9789058,23497.43548,3,5,1722,https://example.com/property/180
181,Sale,House,Parklands,-1.365344078,36.7666257,6354513,USD,6354513,58122.58099,250,119,232.490324,25418.052,3,1,4842,https://example.com/property/181
182,Sale,Townhouse,Kasarani,-1.474682286,36.81838086,13824286,KES,13824286,126351.1797,202,110,625.5008898,68437.05941,5,4,4674,https://example.com/property/182
183,Rent,Apartment,Parklands,-1.380189375,36.87411642,17819069,KES,17819069,163159.7116,274,132,595.4733999,65033.09854,4,4,5866,https://example.com/property/183
184,Sale,Apartment,Mombasa Road,-1.226959609,36.61252094,14515421,KES,14515421,141131.7856,176,145,801.8851456,82473.98295,1,2,1702,https://example.com/property/184
185,Sale,Studio,Juja,-1.257593211,36.76436221,4613560,KES,4613560,35656.25446,242,236,147.3398945,19064.29752,4,2,3128,https://example.com/property/185
186,Sale,Townhouse,Parklands,-1.43518459,36.91295885,22070889,KES,22070889,155409.7429,164,42,947.6203835,134578.5915,2,3,5233,https://example.com/property/186
187,Rent,Apartment,Ruiru,-1.360017665,36.73155736,23252704,KES,23252704,230510.2809,55,31,4191.096016,422776.4364,3,3,3517,https://example.com/property/187
188,Sale,Townhouse,Kileleshwa,-1.254983039,36.63922877,6020745,USD,6020745,58767.50953,67,48,877.1270079,89861.86567,3,1,2149,https://example.com/property/188
189,Sale,House,Nairobi Central,-1.479784634,36.82735454,24421284,KES,24421284,189844.2641,59,53,3217.699392,413920.0678,4,4,2878,https://example.com/property/189
190,Rent,Villa,Nairobi Central,-1.383782224,36.9118837,23080139,USD,23080139,163718.2076,141,138,1161.12204,163688.9291,1,1,1309,https://example.com/property/190
191,Sale,Apartment,Utawala,-1.244447629,36.53157015,6195741,USD,6195741,53256.86544,188,117,283.2811991,32956.06915,3,1,4952,https://example.com/property/191
192,Sale,Studio,Ruiru,-1.378830641,36.88839524,3835988,USD,3835988,32652.06412,274,40,119.1681172,13999.9562,4,2,8728,https://example.com/property/192
193,Sale,House,Utawala,-1.476715607,36.91082397,24881675,KES,24881675,191666.8289,242,216,792.0116898,102816.8388,1,1,4049,https://example.com/property/193
194,Sale,Townhouse,Lavington,-1.337239689,36.73076146,11103670,USD,11103670,97648.46601,126,115,774.9878255,88124.36508,4,1,6766,https://example.com/property/194
195,Sale,House,South B,-1.241477252,36.99165283,3550428,KES,3550428,35038.12635,150,44,233.587509,23669.52,1,5,7412,https://example.com/property/195
196,Rent,Apartment,Westlands,-1.322914337,36.89335417,21866922,USD,21866922,159891.0062,133,39,1202.188017,164412.9474,5,3,5865,https://example.com/property/196
197,Rent,Townhouse,Embakasi,-1.432116268,36.88683128,13117390,USD,13117390,99917.28094,242,70,412.8813262,54204.09091,1,3,1015,https://example.com/property/197
198,Rent,Villa,Runda,-1.384728114,36.87391929,7305665,KES,7305665,56616.47209,101,56,560.5591296,72333.31683,2,4,1605,https://example.com/property/198
199,Sale,House,South B,-1.364962992,36.57530405,17309043,USD,17309043,126265.7709,244,217,517.4826675,70938.70082,5,3,5908,https://example.com/property/199
200,Sale,Apartment,Nairobi Central,-1.326220094,36.60861544,5889190,USD,5889190,44027.52777,259,102,169.9904547,22738.18533,4,4,9006,https://example.com/property/200
201,Sale,Studio,South B,-1.272194692,36.73199507,12003281,USD,12003281,108829.7657,282,81,385.9211551,42564.82624,5,5,7412,https://example.com/property/201
202,Rent,Townhouse,Utawala,-1.470337915,36.63200217,10660678,USD,10660678,90633.48684,255,157,355.4254386,41806.58039,5,3,9605,https://example.com/property/202
203,Sale,House,Gikambura,-1.23310439,36.70762049,20032874,KES,20032874,188446.2485,80,57,2355.578106,250410.925,4,5,5120,https://example.com/property/203
204,Sale,House,South B,-1.496307089,36.94423205,4730283,USD,4730283,44418.78464,268,94,165.7417337,17650.3097,4,3,9507,https://example.com/property/204
205,Rent,Villa,Gikambura,-1.3889843,36.91216345,12142693,USD,12142693,90745.92557,194,46,467.7625029,62591.20103,2,3,5666,https://example.com/property/205
206,Sale,Villa,South B,-1.491773907,36.81501994,24807008,KES,24807008,173560.5336,232,124,748.1057484,106926.7586,4,5,5820,https://example.com/property/206
207,Rent,Studio,Ngara,-1.382107732,36.9290602,9389690,USD,9389690,63385.3359,159,92,398.6499113,59054.65409,3,1,8835,https://example.com/property/207
208,Rent,Studio,Kileleshwa,-1.34225622,36.89188619,9766174,USD,9766174,74314.18731,142,130,523.3393472,68775.87324,3,1,2849,https://example.com/property/208
209,Rent,Apartment,Westlands,-1.346495584,36.71449247,3751993,USD,3751993,34357.3163,213,204,161.3019545,17614.99061,2,1,2953,https://example.com/property/209
210,Sale,Apartment,Runda,-1.450311496,36.60053258,18678986,USD,18678986,177417.7374,278,67,638.1932999,67190.59712,1,1,9580,https://example.com/property/210
211,Sale,Studio,Ruiru,-1.306277847,36.75710052,20605498,KES,20605498,146509.7028,203,99,721.7226741,101504.9163,1,3,3769,https://example.com/property/211
212,Sale,Studio,Kileleshwa,-1.486566465,36.86811444,11860369,USD,11860369,91985.18052,102,82,901.8154953,116278.1275,3,2,4046,https://example.com/property/212
213,Sale,Townhouse,Runda,-1.271427954,36.7182098,9615920,KES,9615920,73452.04913,194,148,378.6188099,49566.59794,4,5,8594,https://example.com/property/213
214,Sale,Villa,Runda,-1.21600667,36.83338595,18234145,USD,18234145,131111.9434,135,103,971.1995809,135067.7407,2,2,7840,https://example.com/property/214
215,Sale,Apartment,Westlands,-1.398069352,36.54716371,15491356,USD,15491356,114611.6709,202,83,567.3845094,76689.88119,1,2,6066,https://example.com/property/215
216,Sale,Villa,Embakasi,-1.344828185,36.87400237,16552664,USD,16552664,116795.9626,51,49,2290.116913,324562.0392,1,4,3415,https://example.com/property/216
217,Rent,Villa,Gikambura,-1.386326917,36.90635681,3317942,KES,3317942,32272.34279,296,60,109.0281851,11209.26351,5,1,3389,https://example.com/property/217
218,Sale,Studio,South B,-1.497986883,36.85341893,23671672,USD,23671672,172312.9696,135,36,1276.392368,175345.7185,3,3,6924,https://example.com/property/218
219,Rent,Townhouse,Gikambura,-1.384237649,36.98363179,3337462,USD,3337462,23413.78026,182,87,128.6471443,18337.7033,4,1,9495,https://example.com/property/219
220,Sale,House,Ngara,-1.262483922,36.91332603,23705423,KES,23705423,207384.2757,53,38,3912.910863,447272.1321,2,1,1763,https://example.com/property/220
221,Sale,Townhouse,Nairobi Central,-1.321203347,36.95154686,11810381,KES,11810381,89457.42728,213,39,419.9879215,55447.79812,1,2,8541,https://example.com/property/221
222,Sale,Townhouse,Donholm,-1.469622026,36.96678554,5430630,KES,5430630,46933.87801,55,39,853.3432365,98738.72727,5,4,1815,https://example.com/property/222
223,Rent,Villa,Kasarani,-1.245858153,36.900674,18148443,KES,18148443,122708.7256,293,282,418.8011113,61940.0785,3,1,7255,https://example.com/property/223
224,Rent,Townhouse,Nairobi Central,-1.340674397,36.83712942,7563167,USD,7563167,74388.5052,198,68,375.6995212,38197.81313,3,5,1877,https://example.com/property/224
225,Rent,Apartment,Juja,-1.247482991,36.50285929,10463131,USD,10463131,81116.05569,254,185,319.35455,41193.42913,2,5,8173,https://example.com/property/225
226,Rent,Villa,Donholm,-1.325933544,36.73291288,5795126,USD,5795126,53497.49838,167,66,320.3443017,34701.35329,1,1,8073,https://example.com/property/226
227,Sale,Apartment,Kasarani,-1.332093467,36.78558115,10614896,USD,10614896,78274.58832,278,148,281.5632673,38183.07914,2,2,5798,https://example.com/property/227
228,Rent,House,Nairobi Central,-1.468422244,36.65201514,8562632,KES,8562632,78704.63015,296,96,265.8940208,28927.81081,2,2,7989,https://example.com/property/228
229,Sale,Villa,Mombasa Road,-1.44979208,36.65905222,24043615,USD,24043615,215118.5026,138,72,1558.829729,174229.0942,5,3,6039,https://example.com/property/229
230,Sale,House,Mombasa Road,-1.208392423,36.98057971,22504580,USD,22504580,180442.939,203,81,888.8814727,110860,3,4,7324,https://example.com/property/230
231,Rent,Villa,Kilimani,-1.431453976,36.94585543,15012246,USD,15012246,103005.8048,232,130,443.9905381,64707.9569,4,2,3823,https://example.com/property/231
232,Rent,Studio,Juja,-1.206764365,36.9245895,12079860,USD,12079860,109235.2625,216,85,505.7188078,55925.27778,3,3,6287,https://example.com/property/232
233,Rent,Townhouse,Runda,-1.340426188,36.7030059,8582266,KES,8582266,80049.48994,261,105,306.7030266,32882.24521,3,5,4285,https://example.com/property/233
234,Rent,Studio,Ngara,-1.459263286,36.50684928,3902473,USD,3902473,28289.27706,210,97,134.7108431,18583.20476,5,5,8433,https://example.com/property/234
235,Rent,House,Kilimani,-1.470209339,36.54011112,19903418,USD,19903418,159187.8952,63,38,2526.791987,315927.2698,4,5,7174,https://example.com/property/235
236,Rent,Townhouse,Parklands,-1.437340779,36.65609818,13563366,USD,13563366,93161.86103,105,52,887.2558194,129174.9143,1,1,5826,https://example.com/property/236
237,Rent,Villa,Ruiru,-1.222308801,36.50787146,11507150,KES,11507150,107212.0746,277,220,387.0472007,41542.05776,4,4,4664,https://example.com/property/237
238,Rent,Townhouse,Ruiru,-1.375754933,36.50857489,4417158,KES,4417158,33388.34752,130,90,256.8334424,33978.13846,1,3,1497,https://example.com/property/238
239,Sale,Apartment,Upper Hill,-1.38136972,36.95830165,21613148,USD,21613148,193589.949,198,197,977.7270151,109157.3131,4,4,8641,https://example.com/property/239
240,Rent,Townhouse,Westlands,-1.406038122,36.85307925,22449978,USD,22449978,208182.399,95,73,2191.393673,236315.5579,2,1,5643,https://example.com/property/240
241,Rent,Apartment,Ruiru,-1.455881445,36.654478,13032514,USD,13032514,97133.27227,193,181,503.2812035,67525.97927,4,3,6056,https://example.com/property/241
242,Sale,Townhouse,South B,-1.353644641,36.56632229,23493650,KES,23493650,181160.4219,287,247,631.2209822,81859.40767,5,3,1131,https://example.com/property/242
243,Rent,Apartment,Kilimani,-1.460985665,36.75581786,3455433,USD,3455433,25086.38419,65,59,385.9443722,53160.50769,1,2,6443,https://example.com/property/243
244,Sale,House,Parklands,-1.249355929,36.50267308,11478748,USD,11478748,99406.22651,169,45,588.2025238,67921.5858,3,4,1857,https://example.com/property/244
245,Sale,Studio,Utawala,-1.388880904,36.96920687,19726990,USD,19726990,161170.085,133,51,1211.805151,148323.2331,5,4,9712,https://example.com/property/245
246,Rent,Villa,Westlands,-1.38755893,36.70740756,21292770,KES,21292770,177036.1315,206,86,859.3986966,103362.9612,1,2,9221,https://example.com/property/246
247,Sale,Townhouse,Runda,-1.357798071,36.70116748,21361861,USD,21361861,143171.7196,269,91,532.2368758,79412.12268,1,5,7147,https://example.com/property/247
248,Sale,Studio,Juja,-1.366761686,36.6952968,12835915,USD,12835915,111994.0743,57,47,1964.808321,225191.4912,3,1,5604,https://example.com/property/248
249,Sale,Villa,Lavington,-1.201542608,36.53466417,16929765,KES,16929765,147547.8284,137,136,1076.991448,123574.927,2,4,2558,https://example.com/property/249
250,Sale,Villa,Westlands,-1.336385664,36.81916112,19728652,KES,19728652,167579.0874,180,100,930.9949298,109603.6222,5,2,1015,https://example.com/property/250
251,Rent,Apartment,Utawala,-1.473539489,36.86650181,6230786,USD,6230786,48590.81634,266,119,182.6722419,23424.00752,3,3,4605,https://example.com/property/251
252,Sale,House,Lavington,-1.317936798,36.8380627,24453319,KES,24453319,217138.6766,68,37,3193.215833,359607.6324,3,2,2607,https://example.com/property/252
253,Rent,House,Kasarani,-1.454524712,36.56921775,16783030,USD,16783030,115137.9818,146,99,788.6163135,114952.2603,2,5,6935,https://example.com/property/253
254,Sale,Studio,Juja,-1.490718707,36.78942008,23193619,KES,23193619,204738.1981,115,59,1780.332157,201683.6435,5,1,3016,https://example.com/property/254
255,Sale,House,Kileleshwa,-1.208777354,36.78474224,13187202,KES,13187202,91077.63216,128,52,711.5440012,103025.0156,3,5,4574,https://example.com/property/255
256,Sale,Townhouse,Kasarani,-1.267938333,36.93420539,6621420,USD,6621420,62956.96217,135,61,466.3478679,49047.55556,2,3,8274,https://example.com/property/256
257,Sale,House,Ngara,-1.205967302,36.68956383,18261526,USD,18261526,137482.3638,173,115,794.6957447,105557.9538,5,3,4791,https://example.com/property/257
258,Rent,Studio,Utawala,-1.356636466,36.68574297,23720655,USD,23720655,163197.6138,251,86,650.1896965,94504.60159,4,3,7406,https://example.com/property/258
259,Rent,House,Runda,-1.340322741,36.80926353,18111500,KES,18111500,167022.5216,259,138,644.8746009,69928.57143,1,3,2088,https://example.com/property/259
260,Sale,Townhouse,Ruiru,-1.449498913,36.81653633,13284226,USD,13284226,89506.48752,199,38,449.7813443,66754.90452,2,2,2361,https://example.com/property/260
261,Sale,Apartment,Embakasi,-1.425927772,36.73464261,16028847,USD,16028847,130693.9193,95,60,1375.725466,168724.7053,1,3,5473,https://example.com/property/261
262,Rent,Studio,Juja,-1.248435236,36.72152968,16684539,USD,16684539,113280.0586,162,100,699.2596208,102990.9815,4,3,6294,https://example.com/property/262
263,Sale,Apartment,Ngara,-1.393144306,36.74707384,4251661,USD,4251661,31766.50601,140,38,226.9036143,30369.00714,3,2,8106,https://example.com/property/263
264,Sale,Apartment,Gikambura,-1.251955508,36.93052265,20891316,USD,20891316,181538.3662,190,42,955.4650852,109954.2947,3,3,8319,https://example.com/property/264
265,Sale,Apartment,Ngara,-1.287295883,36.73058345,10816184,KES,10816184,98854.55852,82,32,1205.543397,131904.6829,5,5,9667,https://example.com/property/265
266,Rent,Villa,Utawala,-1.446848722,36.9699659,17948678,USD,17948678,155822.4157,182,64,856.1671191,98619.10989,2,5,9520,https://example.com/property/266
267,Rent,Villa,Kasarani,-1.34776609,36.75200188,21286606,USD,21286606,203405.9144,267,254,761.8199041,79725.1161,2,4,2186,https://example.com/property/267
268,Rent,Apartment,Kasarani,-1.296783804,36.97460035,21785094,KES,21785094,203231.676,126,50,1612.94981,172897.5714,5,5,4414,https://example.com/property/268
269,Sale,Studio,Kileleshwa,-1.429488836,36.91641595,24489253,USD,24489253,232714.5275,204,93,1140.757488,120045.3578,1,1,6486,https://example.com/property/269
270,Sale,Townhouse,Ngara,-1.250793447,36.68121566,11704225,USD,11704225,96611.61962,170,124,568.3036448,68848.38235,3,1,4536,https://example.com/property/270
271,Rent,Townhouse,Kasarani,-1.336551703,36.93182071,21581269,USD,21581269,154395.7357,177,63,872.2922919,121928.0734,3,1,2773,https://example.com/property/271
272,Rent,House,Kileleshwa,-1.450427385,36.55503164,12481623,USD,12481623,116575.3139,127,125,917.9158574,98280.49606,2,2,6415,https://example.com/property/272
273,Rent,Studio,Gikambura,-1.325104672,36.96252359,9281328,USD,9281328,87135.51122,201,150,433.5100061,46175.76119,2,5,3558,https://example.com/property/273
274,Rent,Villa,Westlands,-1.200085859,36.81582176,24247972,KES,24247972,183458.4735,116,64,1581.538565,209034.2414,5,1,6907,https://example.com/property/274
275,Sale,Apartment,Ruiru,-1.454843553,36.52719537,12734409,KES,12734409,115915.7804,288,125,402.4853486,44216.69792,4,4,6079,https://example.com/property/275
276,Rent,House,Kileleshwa,-1.254972921,36.82212836,5827754,KES,5827754,55565.65705,164,35,338.814982,35535.08537,1,2,7724,https://example.com/property/276
277,Sale,Townhouse,Utawala,-1.437807299,36.98712383,17075087,USD,17075087,157602.9555,112,61,1407.169245,152456.1339,4,4,6420,https://example.com/property/277
278,Rent,Villa,Ruiru,-1.265283501,36.53490033,7953799,KES,7953799,54408.548,162,112,335.8552346,49097.52469,4,5,4291,https://example.com/property/278
279,Sale,Villa,Kasarani,-1.279626623,36.77734385,11351184,USD,11351184,80462.87191,143,126,562.6774259,79378.90909,2,3,4524,https://example.com/property/279
280,Rent,Apartment,Kilimani,-1.409853184,36.87389717,15612975,USD,15612975,132646.9567,276,185,480.6049155,56568.75,2,4,4504,https://example.com/property/280
281,Rent,Townhouse,Parklands,-1.402253065,36.90512929,6739469,USD,6739469,50752.43844,97,93,523.2210148,69479.06186,2,3,9998,https://example.com/property/281
282,Rent,Studio,Utawala,-1.262243582,36.70691373,18719336,KES,18719336,147554.609,240,108,614.8108709,77997.23333,4,2,6989,https://example.com/property/282
283,Rent,Villa,Upper Hill,-1.361566346,36.60208328,11642979,KES,11642979,86981.23698,255,107,341.1028901,45658.74118,1,4,3666,https://example.com/property/283
284,Sale,Apartment,Kileleshwa,-1.280754591,36.52117114,21976534,KES,21976534,163840.6853,61,48,2685.912873,360271.0492,2,4,9596,https://example.com/property/284
285,Rent,Studio,Embakasi,-1.455604756,36.78986308,16856901,USD,16856901,128251.0966,205,136,625.6151052,82228.78537,3,2,8140,https://example.com/property/285
286,Sale,Townhouse,Westlands,-1.244232665,36.72645554,22871726,KES,22871726,201859.6901,221,155,913.3922629,103491.9729,1,2,9785,https://example.com/property/286
287,Sale,Villa,Mombasa Road,-1.286734585,36.9743722,12550788,USD,12550788,123106.9002,270,44,455.9514823,46484.4,3,1,7895,https://example.com/property/287
288,Sale,Studio,Gikambura,-1.227917157,36.53030245,18754666,KES,18754666,152752.2374,220,163,694.3283518,85248.48182,1,5,5107,https://example.com/property/288
289,Sale,Studio,Kileleshwa,-1.460288286,36.84269767,3420888,KES,3420888,23665.99033,194,102,121.9896409,17633.4433,2,4,4280,https://example.com/property/289
290,Rent,Studio,Ngara,-1.32209565,36.51248311,11295953,USD,11295953,87923.44855,89,66,987.9039163,126920.8202,5,4,3212,https://example.com/property/290
291,Sale,Villa,Donholm,-1.320263824,36.58571709,3190285,USD,3190285,22527.15076,226,127,99.67765822,14116.30531,2,2,9078,https://example.com/property/291
292,Sale,Villa,Juja,-1.393961778,36.7267895,22973915,KES,22973915,153588.2341,134,67,1146.180852,171447.1269,4,2,8601,https://example.com/property/292
293,Sale,House,Upper Hill,-1.362460073,36.72743622,5211130,KES,5211130,48170.55807,106,55,454.4392271,49161.60377,4,5,1613,https://example.com/property/293
294,Rent,Townhouse,Donholm,-1.488605531,36.84285027,20984955,KES,20984955,155918.934,136,111,1146.46275,154301.1397,1,2,1868,https://example.com/property/294
295,Rent,Apartment,Gikambura,-1.276241988,36.95510652,6128411,USD,6128411,45831.99885,133,121,344.6014951,46078.2782,4,3,1811,https://example.com/property/295
296,Rent,Studio,Donholm,-1.335203256,36.81951608,8130418,USD,8130418,54567.37957,241,154,226.4206621,33736.17427,2,3,5862,https://example.com/property/296
297,Rent,House,Mombasa Road,-1.482677684,36.97676755,15977207,KES,15977207,107028.4236,252,208,424.7159666,63401.61508,3,3,5177,https://example.com/property/297
298,Sale,Apartment,Upper Hill,-1.295773232,36.94080782,22494042,KES,22494042,167448.6997,234,102,715.5927337,96128.38462,2,3,2744,https://example.com/property/298
299,Sale,House,Upper Hill,-1.359965377,36.7922499,4488543,USD,4488543,40011.70804,170,152,235.3629884,26403.19412,1,5,3256,https://example.com/property/299
300,Rent,Villa,Kileleshwa,-1.489661622,36.91689598,8929191,KES,8929191,63812.8486,275,82,232.0467222,32469.78545,4,4,8612,https://example.com/property/300
301,Sale,Studio,Kileleshwa,-1.209117682,36.82128881,22479519,USD,22479519,213376.4421,251,213,850.1053469,89559.83665,3,3,9713,https://example.com/property/301
302,Sale,Apartment,Donholm,-1.215266357,36.53927892,5437587,USD,5437587,39109.49301,123,88,317.9633578,44208.02439,5,2,8196,https://example.com/property/302
303,Sale,Apartment,Nairobi Central,-1.346129275,36.87028236,9417115,USD,9417115,64718.07808,156,99,414.8594749,60366.12179,3,3,6423,https://example.com/property/303
304,Rent,Apartment,Juja,-1.471898274,36.54745422,20888504,USD,20888504,175324.9224,173,107,1013.438858,120742.7977,3,5,6089,https://example.com/property/304
305,Rent,Apartment,Gikambura,-1.273613634,36.79704139,23075489,USD,23075489,175436.6259,247,121,710.2697403,93423.03239,2,2,7608,https://example.com/property/305
306,Sale,Apartment,Upper Hill,-1.35242067,36.8513201,13160111,USD,13160111,108307.3091,149,87,726.8946918,88322.89262,5,3,2469,https://example.com/property/306
307,Rent,House,Kasarani,-1.409265757,36.5332638,18442242,KES,18442242,151304.5071,265,117,570.960404,69593.36604,1,4,3675,https://example.com/property/307
308,Rent,Studio,Gikambura,-1.352574547,36.61539733,15838405,USD,15838405,137107.034,253,42,541.9250355,62602.3913,1,2,2513,https://example.com/property/308
309,Rent,Villa,South B,-1.343266756,36.95783612,11992719,USD,11992719,86836.75749,92,72,943.8777988,130355.6413,3,2,5876,https://example.com/property/309
310,Rent,Villa,South B,-1.33118649,36.80815725,12541399,KES,12541399,85426.73593,168,105,508.4924758,74651.18452,3,4,2451,https://example.com/property/310
311,Rent,Villa,Kasarani,-1.367632886,36.62314301,15299695,USD,15299695,104052.9833,72,48,1445.180323,212495.7639,4,2,5654,https://example.com/property/311
312,Sale,Villa,Upper Hill,-1.318273409,36.84533989,13832477,KES,13832477,127207.9827,204,178,623.5685425,67806.2598,5,3,4007,https://example.com/property/312
313,Rent,House,Upper Hill,-1.224379587,36.79838821,13947852,USD,13947852,97037.18801,235,151,412.9242043,59352.5617,3,2,4124,https://example.com/property/313
314,Sale,Townhouse,Parklands,-1.391319574,36.75078785,16811224,KES,16811224,122824.8039,298,240,412.1637715,56413.50336,4,3,2753,https://example.com/property/314
315,Sale,Studio,Utawala,-1.282285061,36.98809349,20608851,KES,20608851,182959.063,286,55,639.7170036,72058.91958,5,4,2612,https://example.com/property/315
316,Rent,Apartment,Mombasa Road,-1.231664233,36.84172689,4467217,USD,4467217,43218.20974,86,74,502.5373226,51944.38372,1,1,4275,https://example.com/property/316
317,Sale,Townhouse,Lavington,-1.363206217,36.68772055,5744686,USD,5744686,50658.66775,183,149,276.823321,31391.72678,4,4,9747,https://example.com/property/317
318,Sale,Villa,Kileleshwa,-1.366963249,36.90003672,23007761,USD,23007761,158009.0373,114,111,1386.044187,201822.4649,5,3,3049,https://example.com/property/318
319,Sale,Townhouse,Embakasi,-1.319364904,36.94229165,10557065,USD,10557065,80184.94985,183,129,438.1691249,57688.87978,4,5,1824,https://example.com/property/319
320,Rent,Studio,Kileleshwa,-1.322577972,36.56261028,3231414,KES,3231414,23751.1877,227,186,104.6307828,14235.30396,3,4,4030,https://example.com/property/320
321,Rent,Apartment,Donholm,-1.258023197,36.60027649,15839724,KES,15839724,140351.3945,71,46,1976.780204,223094.7042,2,5,2081,https://example.com/property/321
322,Sale,Apartment,Upper Hill,-1.357054985,36.6081135,19584878,KES,19584878,144038.8564,154,97,935.3172493,127174.5325,1,5,6299,https://example.com/property/322
323,Rent,Studio,Embakasi,-1.201163115,36.8456059,5402110,USD,5402110,53272.05479,137,73,388.8471152,39431.45985,3,3,1492,https://example.com/property/323
324,Rent,Studio,Kileleshwa,-1.482158529,36.80151978,4643083,KES,4643083,39094.35671,202,90,193.5364194,22985.55941,3,3,5764,https://example.com/property/324
325,Rent,Villa,Upper Hill,-1.499049645,36.80949578,13404334,USD,13404334,102060.0888,174,152,586.5522345,77036.4023,5,1,8202,https://example.com/property/325
326,Rent,Apartment,Nairobi Central,-1.307940507,36.97038665,14791470,USD,14791470,137845.335,128,122,1076.91668,115558.3594,4,2,9266,https://example.com/property/326
327,Sale,Townhouse,Embakasi,-1.410469526,36.88795577,8050058,KES,8050058,57031.86544,139,97,410.3011902,57914.08633,1,4,4360,https://example.com/property/327
328,Sale,House,Lavington,-1.427885283,36.56396846,3021650,USD,3021650,27038.99495,249,103,108.5903412,12135.14056,3,3,9562,https://example.com/property/328
329,Rent,House,Kasarani,-1.406430276,36.67375354,4404962,KES,4404962,33216.40364,100,54,332.1640364,44049.62,5,4,5682,https://example.com/property/329
330,Rent,Studio,Mombasa Road,-1.42318573,36.71769682,22801062,USD,22801062,189598.2795,265,252,715.4652055,86041.7434,1,5,1328,https://example.com/property/330
331,Sale,Villa,Kilimani,-1.490762985,36.69798079,5913293,KES,5913293,45556.19182,225,96,202.4719636,26281.30222,4,2,9968,https://example.com/property/331
332,Sale,House,Juja,-1.208540087,36.8346543,13727797,USD,13727797,130278.7103,151,140,862.7729158,90912.56291,3,1,5674,https://example.com/property/332
333,Rent,Apartment,Westlands,-1.433776353,36.94594655,18809068,KES,18809068,186513.4477,247,31,755.1151728,76150.07287,3,4,5316,https://example.com/property/333
334,Sale,Studio,Nairobi Central,-1.279791071,36.65302573,6844328,KES,6844328,47047.09705,295,118,159.4816849,23201.11186,3,2,6803,https://example.com/property/334
335,Rent,Townhouse,Mombasa Road,-1.271221082,36.77593857,17701106,USD,17701106,155982.3049,276,206,565.1532786,64134.44203,1,1,4325,https://example.com/property/335
336,Rent,Studio,Utawala,-1.221222781,36.89470471,10121782,USD,10121782,71793.91108,155,99,463.1865231,65301.81935,1,4,9379,https://example.com/property/336
337,Sale,Townhouse,Lavington,-1.490835163,36.70810903,15458709,KES,15458709,103080.3838,242,55,425.951999,63878.96281,1,2,2214,https://example.com/property/337
338,Sale,Studio,Kasarani,-1.238385498,36.58405906,8172886,USD,8172886,73914.89987,109,101,678.1183474,74980.6055,1,3,8556,https://example.com/property/338
339,Rent,Studio,Kilimani,-1.341832146,36.73747548,7513207,USD,7513207,66336.78304,95,56,698.2819267,79086.38947,5,4,9722,https://example.com/property/339
340,Rent,Studio,Donholm,-1.310236767,36.52761126,12805301,USD,12805301,96177.05791,85,54,1131.494799,150650.6,2,2,4136,https://example.com/property/340
341,Sale,Townhouse,Ngara,-1.306658917,36.97119173,21502070,KES,21502070,145017.3154,235,175,617.0949592,91498.17021,5,1,7618,https://example.com/property/341
342,Rent,Townhouse,Upper Hill,-1.254060659,36.5374106,24473211,KES,24473211,167865.3582,253,211,663.4994395,96732.05929,3,2,6265,https://example.com/property/342
343,Sale,Studio,South B,-1.399977803,36.71922836,4008314,USD,4008314,32029.67122,215,30,148.975215,18643.32093,5,3,8089,https://example.com/property/343
344,Rent,House,Ruiru,-1.280084643,36.76494063,24185824,USD,24185824,173058.1019,60,58,2884.301698,403097.0667,4,4,8965,https://example.com/property/344
345,Sale,Villa,Gikambura,-1.341426567,36.99265192,22270546,KES,22270546,208550.5255,61,45,3418.861074,365090.918,1,4,9708,https://example.com/property/345
346,Sale,Villa,Westlands,-1.261981796,36.58301091,9605949,USD,9605949,64524.9265,219,132,294.6343676,43862.78082,4,4,7569,https://example.com/property/346
347,Sale,Villa,Kilimani,-1.20283619,36.55721576,24173424,KES,24173424,163094.0856,291,225,560.4607751,83070.18557,4,3,2491,https://example.com/property/347
348,Rent,Townhouse,Donholm,-1.439804695,36.50435307,20488932,USD,20488932,189385.3842,88,70,2152.106639,232828.7727,3,1,6213,https://example.com/property/348
349,Rent,Townhouse,Embakasi,-1.201605408,36.57778572,22544473,USD,22544473,196088.0775,248,194,790.677732,90905.13306,1,4,5228,https://example.com/property/349
350,Sale,House,Kilimani,-1.473056354,36.60363649,19482430,USD,19482430,185533.2585,188,80,986.8790345,103629.9468,4,1,8508,https://example.com/property/350
351,Rent,Villa,Upper Hill,-1.499304736,36.81529047,10542242,KES,10542242,92812.96236,85,44,1091.917204,124026.3765,3,2,5409,https://example.com/property/351
